ccn,hospital,city,parish,medicaid_prov,medicaid_class,medicare_class,ownership,beds_hcris,fte_employees,lihnc_member,lihnc_joined,in_epic_pipeline,epic_wave,epic_status,epic_est_pricing_m,epic_amb_vol,epic_ip_vol,epic_providers,ehr,forhp_rural,ldh_region,current_ratio_fy2021,current_ratio_fy2022,current_ratio_fy2023,days_cash_fy2021,days_cash_fy2022,days_cash_fy2023,equity_ratio_fy2021,equity_ratio_fy2022,equity_ratio_fy2023,npr_fy2021,npr_fy2022,npr_fy2023,pt_svc_margin_fy2021,pt_svc_margin_fy2022,pt_svc_margin_fy2023,total_margin_fy2021,total_margin_fy2022,total_margin_fy2023,control,stratum,fy_days,zip,medicaid_revenue,medicaid_charges,uncomp_care_cost,cost_to_charge,medicaid_days_share,medicare_days_share,contract_labor,total_salaries,zip_population,zip_classification,ruca_category,broadband_desert_pct,poverty_pct,food_access_pct,no_vehicle_pct,specialty_facilities_zip,acute_facilities_zip,diabetes_prevalence,mco_2024_01,mco_2024_12,mco_2025_12,mco_2026_05,mco_pct_change_24_26,medicaid_pct_npr,medicaid_rev_at_risk,cost_settled,margin_gap_fy2023,days_cash_change_21_23,epic_cost_pct_npr,epic_cost_per_provider,contract_labor_pct_salary,ldh_payment_category,dp_2024,dp_2025,cs_2024,cs_2025,upl_2024,upl_2025,dsh_2024,dsh_2025,discharges_2024,days_2024,adc_2024,rhc_settlement_2025,rhc_clinics_settled,ldh_payments_2025,ldh_payments_2024,ldh_pay_pct_npr,dp_pct_npr,dp_per_adc
190079,St Charles Hospital - Luling,Luling,ST CHARLES,1720186.0,Small Rural,,,27.0,,No,,No,,,,,,,,,,4.33,5.31,5.13,201.9,163.4,239.9,0.2709,0.4251,0.5131,51657172.0,64030461.0,67914017.0,-0.114,-0.0507,-0.0943,0.1798,0.1872,0.1687,Gov-Hospital District,Government,365,70070,30445662.0,44757091.0,2158059.0,0.310995,0.006423982869379,0.1331192005710207,122255.0,30665231.0,13873,Urban,1,2.67,11.1,11,1.1879442815811154,0,1,9.6,13404,11696,10623,9666,-0.2789,0.4483,8491295.0,True,0.263,38.0,,,0.004,Small Rural,0.0,10587083.990859585,0.0,5000.0,0.0,0.0,0.0,0.0,1986.0,10912.0,29.895890410958906,0.0,,10592083.990859585,0.0,0.156,0.1559,354132.0
190308,St. Bernard Parish Hospital,Chalmette,ST BERNARD,2700103.0,Small Rural,,,40.0,246.81,No,,No,,,,,,,,,,1.21,1.26,,129.8,144.7,110.4,0.6021,0.6062,-0.1168,39651957.0,35284884.0,38077670.0,-1.1658,-1.2895,-0.4727,0.0314,0.003,0.0131,Gov-Hospital District,Government,364,70043,43949911.0,52755325.0,1989759.0,0.271066,0.0039315448658649,0.1311285846438483,614949.0,20596099.0,22461,Urban,1,2.3,19.2,16,2.5705072891593623,0,1,11.1,18971,16859,15309,13859,-0.2695,1.1542,11844501.0,True,0.4858,-19.4,,,0.0299,Small Rural,0.0,8508922.259029634,15325.0,11626.0,0.0,0.0,0.0,0.0,1375.0,3775.0,10.342465753424657,0.0,,8520548.259029634,15325.0,0.2238,0.2235,822717.0
191300,St. Helena Parish Hospital,GREENSBURG,ST HELENA,1734055.0,Critical Access Hospital (CAH),CAH,Government - Hospital District or Authority,25.0,101.2,Yes,2020-02-01 00:00:00,No,,,,,,,CPSI,Yes,9.0,7.39,11.68,8.38,10.2,4.0,2.1,0.7516,0.805,0.8068,12797128.0,13429649.0,15246073.0,-0.0947,-0.095,-0.0042,0.27,0.0781,0.1224,Gov-Hospital District,Government,364,70441,1865786.0,2514000.0,348935.0,1.190282,,0.2655410590943975,,,6074,Rural,2,41.4,19.6,3,3.964311994113319,0,1,8.2,3169,2890,2746,2566,-0.1903,0.1224,355059.0,True,0.1266,-8.1,,,,Critical Access Hospital (CAH),0.0,1491887.8931451412,4779.0,0.0,0.0,0.0,0.0,0.0,12.0,50.0,0.136986301369863,7519.0,1.0,1491887.8931451412,4779.0,0.0979,0.0979,10890782.0
191305,St. James Parish Hospital,LUTCHER,ST JAMES,1720224.0,Critical Access Hospital (CAH),CAH,Government - Hospital District or Authority,25.0,206.18,Yes,2020-02-01 00:00:00,No,,,,,,,Cerner,No,3.0,7.83,15.62,11.76,255.1,347.4,318.7,0.7529,0.8357,0.8059,28113874.0,33850324.0,30786606.0,-0.1428,0.0715,-0.1395,0.1147,0.2026,0.124,Gov-Hospital District,Government,365,70071,5823549.0,12390691.0,486638.0,0.496186,,0.1364303178484107,,,3123,Urban,1,0.84,16.6,9,3.1508213041314086,2,2,11.0,6956,6108,5618,5089,-0.2684,0.1892,1563041.0,True,0.2635,63.6,,,,Critical Access Hospital (CAH),0.0,3644474.5041436017,17441.3,52410.0,0.0,0.0,0.0,0.0,184.0,534.0,1.463013698630137,0.0,,3696884.5041436017,17441.3,0.1201,0.1184,2491073.0
191318,Trinity Medical,FERRIDAY,CONCORDIA,1732231.0,Critical Access Hospital (CAH),CAH,Government - Hospital District or Authority,23.0,148.0,No,,Yes,Wave 2,Interested,0.9,14558.0,1916.0,15.0,,,,4.28,4.84,7.36,138.3,126.5,133.5,0.1776,0.1881,0.2024,20088177.0,24636827.0,26474539.0,-0.232,-0.0887,-0.1819,0.1282,0.0563,0.0674,Gov-Hospital District,Government,364,71334,6492780.0,30324583.0,988694.0,0.0,0.0090673575129533,0.594559585492228,,,9382,Rural,7,15.64,27.500000000000004,21,3.967446592065107,1,1,11.2,8962,8222,7319,6650,-0.258,0.2452,1675137.0,True,0.2493,-4.8,0.034,60000.0,,Critical Access Hospital (CAH),0.0,3735663.3709533,765.0,140.0,0.0,0.0,0.0,0.0,537.0,1865.0,5.109589041095891,0.0,,3735803.3709533,765.0,0.1411,0.1411,731108.0
191301,Union General Hospital,FARMERVILLE,UNION,1743577.0,Critical Access Hospital (CAH),CAH,Voluntary non-profit - Private,20.0,113.87,No,,No,,,,,,,,,,10.47,14.03,5.26,309.1,221.8,276.5,0.929,0.9621,0.8959,19658870.0,20417091.0,20840064.0,0.0448,0.0225,0.0615,0.2203,0.0964,0.1091,Nonprofit-Other,Nonprofit,365,71241,5337564.0,6434305.0,730311.0,0.607489,0.0082372322899505,0.5919824272377814,,,7773,Rural,2,45.88,19.4,15,2.4799277875433514,0,1,7.8,9016,7983,7243,6529,-0.2758,0.2561,1472100.0,True,0.0476,-32.6,,,,Critical Access Hospital (CAH),0.0,2678538.9288384444,4948.0,6253.0,0.0,0.0,0.0,0.0,194.0,658.0,1.8027397260273967,403.0,1.0,2684791.9288384444,4948.0,0.1288,0.1285,1485816.0
191308,West Ascension Parish Hospital,DONALDSONVILLE,ASCENSION,1743291.0,Critical Access Hospital (CAH),CAH,Government - Hospital District or Authority,25.0,54.12,Yes,June 2023,No,,,,,,,CPSI,No,2.0,12.95,25.6,,1294.2,1104.6,946.1,0.9348,0.9669,0.9914,6492122.0,6822152.0,3779036.0,-0.1975,-0.322,-1.6043,0.0215,0.0323,-0.1713,Gov-Hospital District,Government,365,70346,1389988.0,1713526.0,953212.0,1.365086,,,,,9831,Urban,2,1.03,9.6,10,1.3530435604419837,0,2,10.5,32243,28876,26871,24657,-0.2353,0.3678,327064.0,True,1.433,-348.1,,,,Critical Access Hospital (CAH),0.0,1299518.041220822,4332.0,18180.0,0.0,0.0,0.0,0.0,2.0,4.0,0.010958904109589,0.0,,1317698.041220822,4332.0,0.3487,0.3439,118581021.0
190013,West Calcasieu Cameron Parish Hospital,SULPUR,CALCASIEU,,,,,107.0,481.43,Yes,Dec 2022,Yes,Wave 1,LOI signed,2.1,58433.0,8369.0,35.0,,No,5.0,0.75,0.79,1.14,12.8,10.2,11.8,0.3868,0.4432,0.4706,60948119.0,59643925.0,60830990.0,-0.4864,-0.4683,-0.5853,-0.0168,0.0376,-0.0214,Gov-Hospital District,Government,364,70663,8473626.0,46970920.0,2500174.0,0.352231,0.2043241695303551,0.3164375715922107,256474.0,38193409.0,29511,Urban,1,4.53,18.9,13,2.261707074061773,1,1,10.5,67323,61240,56764,51801,-0.2306,0.1393,1954018.0,False,0.5639,-1.0,0.0345,60000.0,0.0067,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,
190081,West Carroll Memorial Hospital,OAK GROVE,WEST CARROLL,1733725.0,Critical Access Hospital (CAH),CAH,Proprietary,30.0,102.66,No,,Yes,Wave 2,Highly Interested,1.0,53360.0,4983.0,16.0,,,,10.51,8.63,2.97,103.5,7.0,-6.0,0.9279,0.9249,0.8295,29027359.0,34680217.0,24246597.0,-0.0065,0.0678,-0.2354,0.1607,0.0917,0.2603,Proprietary-Corp,Proprietary,361,71263,8318241.0,13321324.0,751331.0,0.448751,0.0282432686876294,0.3566183392958011,222788.0,12200110.0,6241,Rural,10,55.06,21.0,2,1.3775510204081634,0,2,8.1,4728,4161,3693,3288,-0.3046,0.3431,2533736.0,True,0.4957,-109.5,0.0412,62500.0,0.0183,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,
191306,West Feliciana Parish Hospital,SAINT FRANCISVILLE,WEST FELICIANA,1734811.0,Critical Access Hospital (CAH),CAH,Government - Hospital District or Authority,25.0,197.89,Yes,2020-02-01 00:00:00,Yes,Wave 2,Meeting pending,2.3,60601.0,2060.0,38.0,CPSI,Yes,2.0,16.7,14.23,10.96,248.3,177.6,198.4,0.5909,0.615,0.6482,21529047.0,25166526.0,27544006.0,-0.2892,-0.2129,-0.2123,0.1506,0.094,0.1776,Gov-Other,Government,364,70775,7547002.0,9394526.0,1313433.0,0.907851,0.007070707070707,0.2858585858585858,,,10709,Rural,10,49.09,22.1,15,0.9701784086469591,0,2,8.1,2938,2620,2355,2138,-0.2723,0.274,2055049.0,True,0.3899,-49.9,0.0835,60526.0,,Critical Access Hospital (CAH),0.0,3902178.310355862,15192.6,8357.0,0.0,0.0,0.0,0.0,10.0,19.0,0.0520547945205479,0.0,,3910535.310355862,15192.6,0.142,0.1417,74962899.0
190090,Winn Parish Medical Center,Winnfield,WINN,1730246.0,Small Rural,IPPS,,45.0,118.0,No,,No,,,,,,,,,,2.98,1.31,1.02,3.3,4.5,14.5,0.1982,0.1711,-0.062,11326762.0,12372538.0,14926881.0,-0.5788,-0.3797,-0.2314,-0.0133,0.039,-0.1151,Proprietary-Corp,Proprietary,365,71483,3281748.0,16389261.0,357390.0,0.336811,0.0178689609530112,0.5175380542686963,,8375072.0,9360,Rural,7,35.96,23.4,6,3.3735821441639224,1,2,7.9,4833,4385,4031,3558,-0.2638,0.2199,865725.0,True,0.1163,11.2,,,,Small Rural,0.0,1703641.246464535,7460.0,0.0,0.0,0.0,0.0,0.0,404.0,1511.0,4.13972602739726,0.0,,1703641.246464535,7460.0,0.1141,0.1141,411535.0
