ZIP Code,City/Parish,Population,Classification,Passes Active Filters,Rural Designation (RUCA Category),Broadband Deserts,Social Vulnerability (Poverty),Social Vulnerability (Food Access),Transportation (Vehicle Ownership),Healthcare Facility (Specialty),Healthcare Facility (Acute),Diabetes Prevalence,Population
70374,70374,6506,Urban,Yes,1,0.56,17.5,8,3.0065830076116025,0,0,11.2,6506
70375,70375,158,Urban,Yes,2,0.56,17.5,8,3.0065830076116025,0,0,11.2,158
70377,70377,3386,Urban,Yes,2,0.31,19,11,3.0258492403226103,0,0,13.2,3386
70380,70380,21043,Rural,Yes,4,1.33,23.8,10,4.226900680050495,0,1,12,21043
70390,70390,7397,Rural,Yes,10,1.1,18.8,1,3.5932975744054683,0,3,10,7397
70391,70391,73,Urban,Yes,2,1.1,18.8,1,3.5932975744054683,0,0,10,73
70392,70392,8158,Rural,Yes,4,1.33,23.8,10,4.226900680050495,0,0,12,8158
70393,70393,154,Urban,Yes,2,1.1,18.8,1,3.5932975744054683,0,0,10,154
70394,70394,13683,Urban,Yes,1,0.56,17.5,8,3.0065830076116025,0,1,11.2,13683
70395,70395,4266,Urban,Yes,1,0.31,19,11,3.0258492403226103,0,0,13.2,4266
70397,70397,867,Urban,Yes,2,0.31,19,11,3.0258492403226103,0,0,13.2,867
70401,70401,21901,Urban,Yes,1,9.05,21.7,17,2.138063350578188,0,0,10.8,21901
70403,70403,30835,Urban,Yes,1,9.05,21.7,17,2.138063350578188,7,3,10.8,30835
70420,70420,7965,Urban,Yes,2,1.63,11.5,8,1.4562231372666887,0,0,9.2,7965
70422,70422,13670,Rural,Yes,10,9.05,21.7,17,2.138063350578188,0,1,10.8,13670
70426,70426,5880,Rural,Yes,6,34,24.9,4,3.8010282550424046,0,0,13,5880
70427,70427,17564,Rural,Yes,4,34,24.9,4,3.8010282550424046,1,2,13,17564
70431,70431,5150,Urban,Yes,2,1.63,11.5,8,1.4562231372666887,0,0,9.2,5150
70433,70433,41770,Urban,Yes,1,1.63,11.5,8,1.4562231372666887,6,2,9.2,41770
70435,70435,21525,Urban,Yes,2,1.63,11.5,8,1.4562231372666887,0,0,9.2,21525
70436,70436,405,Rural,Yes,10,9.05,21.7,17,2.138063350578188,0,0,10.8,405
70437,70437,7696,Urban,Yes,2,1.63,11.5,8,1.4562231372666887,0,0,9.2,7696
70438,70438,19935,Rural,Yes,10,34,24.9,4,3.8010282550424046,0,1,13,19935
70441,70441,6074,Rural,Yes,2,41.4,19.6,3,3.9643119941133187,0,1,8.2,6074
70442,70442,189,Rural,Yes,10,9.05,21.7,17,2.138063350578188,0,0,10.8,189
70443,70443,8359,Urban,Yes,2,9.05,21.7,17,2.138063350578188,0,1,10.8,8359
70444,70444,9307,Rural,Yes,10,9.05,21.7,17,2.138063350578188,1,0,10.8,9307
70445,70445,9421,Urban,Yes,2,1.63,11.5,8,1.4562231372666887,4,0,9.2,9421
70446,70446,6871,Urban,Yes,3,9.05,21.7,17,2.138063350578188,0,0,10.8,6871
70447,70447,17473,Urban,Yes,1,1.63,11.5,8,1.4562231372666887,0,0,9.2,17473
70448,70448,25851,Urban,Yes,1,1.63,11.5,8,1.4562231372666887,1,0,9.2,25851
70449,70449,3005,Urban,Yes,2,1.69,12,8,1.4383824298413805,0,0,10.3,3005
70450,70450,2785,Rural,Yes,10,34,24.9,4,3.8010282550424046,0,0,13,2785
70451,70451,73,Urban,Yes,1,9.05,21.7,17,2.138063350578188,0,0,10.8,73
70452,70452,13290,Urban,Yes,1,1.63,11.5,8,1.4562231372666887,0,0,9.2,13290
70453,70453,1053,Rural,Yes,2,41.4,19.6,3,3.9643119941133187,0,0,8.2,1053
70454,70454,33220,Urban,Yes,1,9.05,21.7,17,2.138063350578188,0,0,10.8,33220
70455,70455,2456,Urban,Yes,3,9.05,21.7,17,2.138063350578188,0,0,10.8,2456
70456,70456,2587,Rural,Yes,10,9.05,21.7,17,2.138063350578188,0,0,10.8,2587
70458,70458,39385,Urban,Yes,1,1.63,11.5,8,1.4562231372666887,0,3,9.2,39385
70460,70460,21880,Urban,Yes,1,1.63,11.5,8,1.4562231372666887,0,0,9.2,21880
70461,70461,33572,Urban,Yes,1,1.63,11.5,8,1.4562231372666887,0,0,9.2,33572
70462,70462,5428,Urban,Yes,3,1.69,12,8,1.4383824298413805,0,0,10.3,5428
70463,70463,74,Urban,Yes,2,1.63,11.5,8,1.4562231372666887,0,0,9.2,74
70464,70464,210,Urban,Yes,2,1.63,11.5,8,1.4562231372666887,0,0,9.2,210
70465,70465,495,Rural,Yes,10,9.05,21.7,17,2.138063350578188,0,0,10.8,495
70466,70466,9815,Urban,Yes,1,9.05,21.7,17,2.138063350578188,0,0,10.8,9815
70471,70471,23745,Urban,Yes,1,1.63,11.5,8,1.4562231372666887,0,1,9.2,23745
70501,70501,26956,Urban,Yes,1,2.02,16.6,9,2.6067646756451115,1,0,10.5,26956
70503,70503,28883,Urban,Yes,1,2.02,16.6,9,2.6067646756451115,0,1,10.5,28883
70506,70506,41550,Urban,Yes,1,2.02,16.6,9,2.6067646756451115,3,3,10.5,41550
70507,70507,19215,Urban,Yes,1,2.02,16.6,9,2.6067646756451115,1,0,10.5,19215
70508,70508,39364,Urban,Yes,1,2.02,16.6,9,2.6067646756451115,8,4,10.5,39364
70510,70510,23909,Rural,Yes,4,2.61,17,4,3.4526764798433622,0,1,9.7,23909
70512,70512,10703,Rural,Yes,2,3.42,22.6,11,3.6185724320003874,0,0,9,10703
70513,70513,12,Rural,Yes,5,0.03,21.9,6,4.419794733983247,0,0,11.2,12
70514,70514,1757,Rural,Yes,7,1.33,23.8,10,4.226900680050495,0,0,12,1757
70515,70515,4182,Rural,Yes,10,15.7,28.6,6,4.175042523581259,0,0,9,4182
70516,70516,1225,Rural,Yes,2,14.279999999999998,20.3,3,3.426153899504109,0,0,11.3,1225
70517,70517,26570,Urban,Yes,2,0.63,18.7,6,3.041113853748843,1,1,10.5,26570
70518,70518,16667,Urban,Yes,1,2.02,16.6,9,2.6067646756451115,1,0,10.5,16667
70520,70520,20134,Urban,Yes,1,2.02,16.6,9,2.6067646756451115,0,0,10.5,20134
70521,70521,7713,Urban,Yes,2,0.63,18.7,6,3.041113853748843,0,0,10.5,7713
70523,70523,444,Rural,Yes,10,1.33,23.8,10,4.226900680050495,0,0,12,444
70524,70524,262,Rural,Yes,10,15.7,28.6,6,4.175042523581259,0,0,9,262
70525,70525,15333,Rural,Yes,10,14.279999999999998,20.3,3,3.426153899504109,0,2,11.3,15333
70526,70526,16740,Rural,Yes,4,14.279999999999998,20.3,3,3.426153899504109,0,1,11.3,16740
70528,70528,2692,Urban,Yes,2,2.61,17,4,3.4526764798433622,0,0,9.7,2692
70529,70529,13557,Urban,Yes,2,2.02,16.6,9,2.6067646756451115,0,0,10.5,13557
70531,70531,1369,Rural,Yes,10,14.279999999999998,20.3,3,3.426153899504109,0,0,11.3,1369
70532,70532,2653,Rural,Yes,3,0.8699999999999999,19.1,8,2.072683334882424,0,0,7.5,2653
70533,70533,6793,Rural,Yes,4,2.61,17,4,3.4526764798433622,0,0,9.7,6793
70534,70534,630,Rural,Yes,10,14.279999999999998,20.3,3,3.426153899504109,0,0,11.3,630
70535,70535,17813,Rural,Yes,4,3.42,22.6,11,3.6185724320003874,0,2,9,17813
70537,70537,366,Rural,Yes,3,14.279999999999998,20.3,3,3.426153899504109,0,0,11.3,366
70538,70538,12561,Rural,Yes,7,1.33,23.8,10,4.226900680050495,0,1,12,12561
70540,70540,41062,Rural,Yes,8,1.33,23.8,10,4.226900680050495,0,0,12,41062
70541,70541,885,Rural,Yes,4,3.42,22.6,11,3.6185724320003874,0,0,9,885
70542,70542,3499,Rural,Yes,10,2.61,17,4,3.4526764798433622,0,0,9.7,3499
70543,70543,4233,Rural,Yes,10,14.279999999999998,20.3,3,3.426153899504109,0,0,11.3,4233
70544,70544,10407,Rural,Yes,5,0.03,21.9,6,4.419794733983247,0,0,11.2,10407
70546,70546,15821,Rural,Yes,7,0.8699999999999999,19.1,8,2.072683334882424,2,1,7.5,15821
70548,70548,9077,Urban,Yes,2,2.61,17,4,3.4526764798433622,0,1,9.7,9077
70549,70549,3580,Rural,Yes,8,0.8699999999999999,19.1,8,2.072683334882424,0,0,7.5,3580
70550,70550,38,Rural,Yes,6,3.42,22.6,11,3.6185724320003874,0,0,9,38
70552,70552,1112,Rural,Yes,5,0.03,21.9,6,4.419794733983247,0,0,11.2,1112
70554,70554,5028,Rural,Yes,10,15.7,28.6,6,4.175042523581259,0,1,9,5028
70555,70555,8657,Urban,Yes,2,2.61,17,4,3.4526764798433622,0,0,9.7,8657
70556,70556,570,Rural,Yes,10,14.279999999999998,20.3,3,3.426153899504109,0,0,11.3,570
70558,70558,24,Urban,Yes,1,2.02,16.6,9,2.6067646756451115,0,0,10.5,24
70559,70559,2853,Rural,Yes,10,14.279999999999998,20.3,3,3.426153899504109,0,0,11.3,2853
70560,70560,37589,Rural,Yes,4,0.03,21.9,6,4.419794733983247,1,0,11.2,37589
70563,70563,19947,Rural,Yes,4,0.03,21.9,6,4.419794733983247,0,0,11.2,19947
70570,70570,37188,Rural,Yes,4,3.42,22.6,11,3.6185724320003874,1,1,9,37188
70576,70576,1214,Rural,Yes,3,15.7,28.6,6,4.175042523581259,0,0,9,1214
70577,70577,3808,Rural,Yes,2,3.42,22.6,11,3.6185724320003874,0,0,9,3808
70578,70578,16279,Rural,Yes,2,14.279999999999998,20.3,3,3.426153899504109,0,0,11.3,16279
70580,70580,224,Rural,Yes,10,15.7,28.6,6,4.175042523581259,0,0,9,224
70581,70581,1317,Rural,Yes,2,0.8699999999999999,19.1,8,2.072683334882424,0,0,7.5,1317
70582,70582,19159,Urban,Yes,2,0.63,18.7,6,3.041113853748843,0,0,10.5,19159
70583,70583,8670,Urban,Yes,1,2.02,16.6,9,2.6067646756451115,0,0,10.5,8670
70584,70584,6865,Rural,Yes,2,3.42,22.6,11,3.6185724320003874,0,0,9,6865
70585,70585,263,Rural,Yes,3,15.7,28.6,6,4.175042523581259,0,0,9,263
70586,70586,18939,Rural,Yes,7,15.7,28.6,6,4.175042523581259,0,1,9,18939
70589,70589,3138,Rural,Yes,10,3.42,22.6,11,3.6185724320003874,0,0,9,3138
70591,70591,5635,Rural,Yes,2,0.8699999999999999,19.1,8,2.072683334882424,0,0,7.5,5635
70592,70592,31608,Urban,Yes,1,2.02,16.6,9,2.6067646756451115,0,0,10.5,31608
70601,70601,31843,Urban,Yes,1,4.53,18.9,13,2.2617070740617735,2,2,10.5,31843
70605,70605,40715,Urban,Yes,1,4.53,18.9,13,2.2617070740617735,1,1,10.5,40715
70607,70607,28285,Urban,Yes,1,4.53,18.9,13,2.2617070740617735,0,0,10.5,28285
70611,70611,20681,Urban,Yes,1,4.53,18.9,13,2.2617070740617735,0,0,10.5,20681
70615,70615,13521,Urban,Yes,1,4.53,18.9,13,2.2617070740617735,0,0,10.5,13521
70630,70630,2027,Urban,Yes,2,4.53,18.9,13,2.2617070740617735,0,0,10.5,2027
70631,70631,326,Rural,Yes,10,40.73,13.699999999999998,6,0.6058380760051404,0,0,7.7,326
70632,70632,92,Rural,Yes,10,40.73,13.699999999999998,6,0.6058380760051404,0,0,7.7,92
70633,70633,8178,Rural,Yes,2,4.53,18.9,13,2.2617070740617735,0,2,10.5,8178
70634,70634,25038,Rural,Yes,4,38.4,14.3,21,2.024457636856072,1,2,9.2,25038
70637,70637,1185,Rural,Yes,2,18.2,21.6,11,2.732695850513203,0,0,9.2,1185
70638,70638,615,Rural,Yes,10,18.2,21.6,11,2.732695850513203,0,0,9.2,615
70639,70639,603,Rural,Yes,9,29.49,15.299999999999999,22,2.9410550648064064,0,0,10.9,603
70640,70640,212,Rural,Yes,3,0.8699999999999999,19.1,8,2.072683334882424,0,0,7.5,212
70643,70643,177,Rural,Yes,10,40.73,13.699999999999998,6,0.6058380760051404,0,0,7.7,177
70644,70644,279,Rural,Yes,10,18.2,21.6,11,2.732695850513203,0,0,9.2,279
70645,70645,830,Rural,Yes,2,40.73,13.699999999999998,6,0.6058380760051404,0,0,7.7,830
70646,70646,304,Urban,Yes,2,4.53,18.9,13,2.2617070740617735,0,0,10.5,304
70647,70647,12056,Urban,Yes,2,4.53,18.9,13,2.2617070740617735,0,0,10.5,12056
70648,70648,6994,Rural,Yes,2,18.2,21.6,11,2.732695850513203,0,1,9.2,6994
70650,70650,175,Rural,Yes,2,0.8699999999999999,19.1,8,2.072683334882424,0,0,7.5,175
70651,70651,364,Rural,Yes,10,18.2,21.6,11,2.732695850513203,0,0,9.2,364
70652,70652,2559,Rural,Yes,2,38.4,14.3,21,2.024457636856072,0,0,9.2,2559
70653,70653,3297,Rural,Yes,5,38.4,14.3,21,2.024457636856072,0,0,9.2,3297
70654,70654,164,Rural,Yes,10,18.2,21.6,11,2.732695850513203,0,0,9.2,164
70655,70655,2892,Rural,Yes,10,18.2,21.6,11,2.732695850513203,0,0,9.2,2892
70656,70656,3488,Rural,Yes,10,29.49,15.299999999999999,22,2.9410550648064064,0,0,10.9,3488
70657,70657,4807,Rural,Yes,2,38.4,14.3,21,2.024457636856072,0,0,9.2,4807
70658,70658,896,Rural,Yes,10,18.2,21.6,11,2.732695850513203,0,0,9.2,896
70659,70659,1543,Rural,Yes,5,29.49,15.299999999999999,22,2.9410550648064064,0,0,10.9,1543
70660,70660,1883,Rural,Yes,2,38.4,14.3,21,2.024457636856072,0,0,9.2,1883
70661,70661,1712,Rural,Yes,10,4.53,18.9,13,2.2617070740617735,0,0,10.5,1712
70662,70662,551,Rural,Yes,5,38.4,14.3,21,2.024457636856072,0,0,9.2,551
70663,70663,29511,Urban,Yes,1,4.53,18.9,13,2.2617070740617735,1,1,10.5,29511
70665,70665,12891,Urban,Yes,2,4.53,18.9,13,2.2617070740617735,0,0,10.5,12891
