fy,ccn,hcris_name,hcris_city,hcris_class,fy_days,fy_end,control,npr,other_income,total_assets,fund_bal,cash,opex,days_cash,pt_svc_margin,total_margin,other_income_pct_npr,equity_ratio,current_ratio,hospital,ccn_use,medicare_class_chqpr,lihnc_member,in_epic_pipeline,epic_wave,parish,stratum
2022,190318,ACADIAN MEDICAL CENTER,Eunice,STH,364,09/30/2022,Proprietary-Corp,32930628.0,2218613.0,-572492.0,-6689491.0,-79678.0,36748483.0,-0.8,-0.1159,-0.0455,0.0674,,1.49,Acadian Medical Center,190318,IPPS,No,No,,ST LANDRY,Proprietary
2022,190086,NORTH LOUISIANA MEDICAL CENTER,Ruston,STH,364,09/30/2022,Proprietary-Corp,56126850.0,-3474599.0,19711984.0,-13004152.0,-436575.0,66862067.0,-2.4,-0.1913,-0.2699,-0.0619,-0.6597,0.65,Northern Louisiana Medical Center,190086,RRC,No,No,,LINCOLN,Proprietary
2022,190034,ABBEVILLE GENERAL HOSPITAL,Abbeville,STH,364,12/31/2022,Gov-Hospital District,68481522.0,6753552.0,69649045.0,59055625.0,16764966.0,66151620.0,97.6,0.034,0.1172,0.0986,0.8479,4.78,Abbeville General Medical Center,190034,,Yes,Yes,Wave 3+,VERMILION,Government
2022,191313,RIVERSIDE MED CTR,Franklinton,CAH,364,12/31/2022,Gov-Hospital District,25329430.0,8357813.0,21513189.0,14869766.0,7866644.0,33843733.0,87.1,-0.3361,-0.0046,0.33,0.6912,2.47,Riverside Medical Center - Franklinton,191313,CAH,No,Yes,Wave 3+,WASHINGTON,Government
2022,191314,MADISON PARISH HOSPITAL,Tallulah,CAH,364,12/31/2022,Gov-Hospital District,14792803.0,10071600.0,51411072.0,23787782.0,15207907.0,21741171.0,259.9,-0.4697,0.1256,0.6808,0.4627,1.82,Madison Parish Hospital,191314,CAH,No,No,,MADISON,Government
2022,191307,DEQUINCY MEMORIAL HOSPITAL,Dequincy,CAH,364,12/31/2022,Proprietary-Individual,13093199.0,1793386.0,3759778.0,618995.0,868469.0,13627531.0,23.4,-0.0408,0.0846,0.137,0.1646,5.86,Dequincy Memorial Hospital,191307,CAH,No,No,,CALCASIEU,Proprietary
2022,191326,REEVES MEMORIAL MEDICAL CENTER,Bernice,CAH,364,12/31/2022,Gov-Hospital District,33965240.0,2229819.0,17995262.0,15278752.0,11482057.0,12066209.0,354.6,0.6447,0.0596,0.0657,0.849,10.76,Reeves Memorial Medical Center,191326,CAH,Yes,Yes,Wave 1,UNION,Government
2022,190025,SAVOY MEDICAL MANAGEMENT GROUP  INC.,Mamou,STH,364,12/31/2022,Gov-City,32635261.0,2240305.0,13748938.0,6622621.0,4626247.0,33077096.0,52.1,-0.0135,0.0516,0.0686,0.4817,1.67,Savoy Medical Center,190025,IPPS,Yes,No,,EVANGELINE,Government
2022,190081,WEST CARROLL HEALTH SYSTEMS  LLC,Oak Grove,STH,364,12/31/2022,Proprietary-Corp,34680217.0,912422.0,10527206.0,9736558.0,611989.0,32328742.0,7.0,0.0678,0.0917,0.0263,0.9249,8.63,West Carroll Memorial Hospital,190081,CAH,No,Yes,Wave 2,WEST CARROLL,Proprietary
2022,190050,BEAUREGARD MEMORIAL HOSPITAL  INC.,Deridder,STH,364,10/31/2022,Gov-Hospital District,44216031.0,18198659.0,51249426.0,45585743.0,2009624.0,60617343.0,12.7,-0.3709,-0.0111,0.4116,0.8895,4.1,Beauregard Memorial Hospital,190050,IPPS,Yes,No,,BEAUREGARD,Government
2022,191320,BIENVILLE MEDICAL CENTER,Arcadia,CAH,364,12/31/2022,Proprietary-Corp,9821614.0,5565536.0,964817.0,-2658982.0,-9678.0,11259830.0,-0.3,-0.1464,0.2682,0.5667,-2.7559,0.24,Bienville Medical Center,191320,CAH,No,No,,BIENVILLE,Proprietary
2022,190013,WEST CALCASIEU-CAMERON HOSPITAL,Sulphur,STH,364,12/31/2022,Gov-Hospital District,59643925.0,31359970.0,91439386.0,40523253.0,2354803.0,87574575.0,10.2,-0.4683,0.0376,0.5258,0.4432,0.79,West Calcasieu Cameron Parish Hospital,190013,,Yes,Yes,Wave 1,CALCASIEU,Government
2022,190088,SPRINGHILL MEDICAL CENTER,Springhill,STH,364,12/31/2022,Nonprofit-Other,21604586.0,6676298.0,19920352.0,18495025.0,12172463.0,24003204.0,190.9,-0.111,0.1397,0.309,0.9284,10.64,Springhill Medical Center,190088,SCH,Yes,Yes,Wave 3+,WEBSTER,Nonprofit
2022,191324,OCHSNER BAYOU  LLC,Raceland,CAH,364,12/31/2022,Nonprofit-Other,76471934.0,5824557.0,33567939.0,40725801.0,91322.0,77156583.0,0.4,-0.009,0.0625,0.0762,1.2132,,Ochsner St. Anne General Hospital,191324,CAH,No,No,,LAFOURCHE,Nonprofit
